id,name,category_id,part_type,engine_model,category_spec
16984,Колеса для пресс-подборщика (комплект 2 шт),2,parts,,Прочие запчасти
16985,Колеса для пресс-подборщика (комплект 2 шт),2,parts,,Прочие запчасти
17040,Крылья передние квадратные Уралец 220,2,parts,,Прочие запчасти
17041,Крылья передние квадратные Уралец 220,2,parts,,Прочие запчасти
17166,Прокладка ГБЦ TY290/295 (медь) TY290.02.140 1,2,parts,,Прочие запчасти
17167,Прокладка ГБЦ TY290/295 (медь) TY290.02.140 1,2,parts,,Прочие запчасти
17370,Пальцы (21),2,parts,,Стандартные изделия
17371,Сальники (84),2,parts,,Стандартные изделия
17372,Подшипники (107),2,parts,,Стандартные изделия
17373,"Метизы, Крепеж (75)",2,parts,,Стандартные изделия
17374,Кольца (70),2,parts,,Стандартные изделия
17375,Ремни (48),2,parts,,Стандартные изделия
17610,Грунтозацепы (d=27 см),2,parts,,Прочие запчасти
17625,Зеркало заднего вида для трактора (универсальное направление),2,parts,,Прочие запчасти
17627,Каркас кабины,2,parts,,Прочие запчасти
20597,Крылья передние квадратные Уралец 220,2,parts,,Прочие запчасти
20660,Прокладка ГБЦ TY290/295 (медь) TY290.02.140 1,2,parts,,Прочие запчасти
17857,Грунтозацепы (d=27 см),2,parts,,Прочие запчасти
17872,Зеркало заднего вида для трактора (универсальное направление),2,parts,,Прочие запчасти
17874,Каркас кабины,2,parts,,Прочие запчасти
18237,Сальник 50х75х12 коленвала S195,2,parts,,Стандартные изделия
18398,Скоба П-образная (Стремянка) М14 85х115,2,parts,,Стандартные изделия
18834,"Пластина крепежная для бороны 1BQX/ 1BJX 2,2",2,parts,,Запчасти для навесного оборудования
18902,Комплект прокладок двигателя LL385 BT (без прокладки ГБЦ),2,engines,,Запчасти для дизелей
14723,Палец 150х19,2,parts,,Прочие запчасти
14724,Палец 150х19,2,parts,,Прочие запчасти
15015,Крышка масляного фильтра КМ385BT резьба М24х2,2,filters,,Фильтра
17309,Шпилька с гайкой,2,parts,,Прочие запчасти
17325,Шплинт 68мм,2,parts,,Прочие запчасти
15039,Фильтр воздушный элемент тонкой очистки воздуха TY290/295,2,filters,,Фильтра
14725,Палец 53х9,2,parts,,Прочие запчасти
14242,Кожух фрезы Скаут,2,parts,,Прочие запчасти
14726,Палец 53х9,2,parts,,Прочие запчасти
14727,Палец 60х9,2,parts,,Прочие запчасти
14728,Палец 60х9,2,parts,,Прочие запчасти
14729,Палец 63х12,2,parts,,Прочие запчасти
14730,Палец 63х12,2,parts,,Прочие запчасти
14645,Крылья окучника,2,parts,,Прочие запчасти
14646,Крылья окучника,2,parts,,Прочие запчасти
14731,Палец 74×10,2,parts,,Прочие запчасти
14732,Палец 74×10,2,parts,,Прочие запчасти
14770,Прижим отвала,2,parts,,Прочие запчасти
14850,Ручка КПП бордовая,2,parts,,Прочие запчасти
17361,Сиденье тракторное (кресло),2,parts,,Сиденья (кресла)
17114,Палец 105х18,2,parts,,Прочие запчасти
19285,Гнездо гидравлического насоса,2,pumps,,Запчасти для дизелей
19286,Головка блока цилиндров (ГБЦ) TY290/295 “голая”,2,parts,,Запчасти для дизелей
19287,Горловина заливки масла TY290/295,2,parts,,Запчасти для дизелей
19288,Заглушка водяной рубашки 26 TY290/295,2,parts,,Запчасти для дизелей
19289,Заглушка водяной рубашки 50 TY290/295,2,parts,,Запчасти для дизелей
19290,Клапан впускной TY290/295,2,parts,,Запчасти для дизелей
19291,Клапан выпускной TY290/295,2,parts,,Запчасти для дизелей
19292,Клапан нагнетательный для ТНВД (D=16),2,parts,,Запчасти для дизелей
19293,Клапан нагнетательный для ТНВД (D=18),2,parts,,Запчасти для дизелей
19294,Коленвал (Коленчатый вал) TY290,2,parts,,Запчасти для дизелей
19295,Коленвал (Коленчатый вал) TY295,2,parts,,Запчасти для дизелей
19296,Коллектор водяного насоса TY290/TY295,2,pumps,,Запчасти для дизелей
19297,Коллектор впускной TY290/295,2,parts,,Запчасти для дизелей
19298,Коллектор выпускной TY290/TY295,2,parts,,Запчасти для дизелей
19299,Коллектор глушителя TY290/295 4х4,2,parts,,Запчасти для дизелей
19300,Кольца поршневые TY290 (компл. 3шт.),2,parts,,Запчасти для дизелей
19301,Кольца поршневые TY295/JD295 (компл. высота – 3 мм.),2,parts,,Запчасти для дизелей
17115,Палец 105х18,2,parts,,Прочие запчасти
19302,"Кольца поршневые TY295 (TY295IT) (компл. 3 шт, высота – 2,5 мм.)",2,parts,,Запчасти для дизелей
19303,Кольцо гильзы цилиндров уплотнительное TY295 (95мм),2,parts,,Запчасти для дизелей
19304,Кольцо гильзы цилиндров уплотнительное TY290,2,parts,,Запчасти для дизелей
19305,Комплект прокладок двигателя TY290/295 (без прокладки ГБЦ),2,engines,,Запчасти для дизелей
19306,Коромысло впускного клапана в сборе TY290,2,parts,,Запчасти для дизелей
19307,Коромысло выпускного клапана в сборе TY290,2,parts,,Запчасти для дизелей
19308,Корпус механизма ручного пуска двигателя (корпус пускового устройства),2,engines,,Запчасти для дизелей
19309,Крышка головки блока цилиндров TY290/295,2,parts,,Запчасти для дизелей
19310,Крышка заднего гнезда коренного подшипника TY290/295,2,parts,,Запчасти для дизелей
19311,Крышка задняя гнезда гидравлического насоса ТY290/295,2,pumps,,Запчасти для дизелей
19312,Крышка заливной горловины TY290/295,2,parts,,Запчасти для дизелей
19313,Крышка поддона картера TY290/295,2,parts,,Запчасти для дизелей
19314,Крышка (пробка) заливной горловины TY290/295,2,parts,,Запчасти для дизелей
19315,Крышка радиатора TY290/295,2,parts,,Запчасти для дизелей
19316,Крышка термостата TY290/295,2,parts,,Запчасти для дизелей
19317,Направляющая клапана TY290/295,2,parts,,Запчасти для дизелей
19318,Насос масляный в сборе TY290/TY295,2,pumps,,Запчасти для дизелей
19319,Насос ручной (помпа подкачки) топлива на ТНВД (ПРАВЫЙ) для TY/ JD/ KM,2,pumps,,Запчасти для дизелей
19320,Ось коромысел в сборе TY 290/295,2,parts,,Запчасти для дизелей
19321,Палец поршневой TY290,2,parts,,Запчасти для дизелей
19322,Палец поршневой TY295,2,parts,,Запчасти для дизелей
19323,Патрубок корпуса термостата TY290/295,2,parts,,Запчасти для дизелей
19324,Патрубок радиатора верхний TY290/295,2,parts,,Запчасти для дизелей
19325,Патрубок радиатора нижний TY290/295,2,parts,,Запчасти для дизелей
19326,"Плунжерная пара TY290/TY295 (без нагнетательного клапана) 7,5 мм",2,parts,,Запчасти для дизелей
19327,Подшипник распределительного вала (втулка распредвала) TY290/295,2,parts,,Запчасти для дизелей
19328,Помпа водяная – насос водяной TY295/TY290 (hebei),2,pumps,,Запчасти для дизелей
19329,Поршень TY290 (D=89.8 мм),2,parts,,Запчасти для дизелей
19330,"Поршень TY295 (D=94,8 мм)",2,parts,,Запчасти для дизелей
19331,Поршневой комплект на дизель TY290,2,parts,,Запчасти для дизелей
