title,article,price,brand,category,stock,description,url,image_url
Бак топливный 8L R190,100911,4900.00,Неизвестно,Запчасти,В наличии,"Бак топливный 8L R190

Подходит к трактору:
Трактор Файтер

Подходит к трактору:
Трактор СКАУТ T-15

Подходит к трактору:
М..",https://zip-agro.ru/r190-bak-toplivnyj,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/6/605x450-R190_Fuel_tank_1.e7c-170x170.jpg
Блок цилиндра A63 двигателя R190,100921,17900.00,Неизвестно,Запчасти,В наличии,"Блок цилиндра A63 двигателя R190

Подходит к трактору:
Трактор Файтер

Подходит к трактору:
Трактор СКАУТ T-15

Подходит к трактору:
М..",https://zip-agro.ru/r190-blok-dvigatelya-a63-mm,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/8/605x450-R190_engine_block_1.e7c-170x170.jpg
Болт-штуцер прибора-указателя давления масла,100286,493.00,Неизвестно,Запчасти,В наличии,"Болт-штуцер прибора-указателя давления масла

Подходит к трактору:
Трактор СКАУТ T-220B

Подходит к трактору:
Трактор СКАУТ T-25

Подходит к тракт..",https://zip-agro.ru/bolt-shtutser-pribora-ukazatelya-davleniya-masla,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/4/605x450-DSC05252.e7c-170x170.jpg
Вал балансировочный R190,100950,1450.00,Неизвестно,Запчасти,В наличии,"Вал балансировочный R190

Подходит к трактору:
Мотоблок СКАУТ

Подходит к трактору:
Двигатель R190AN(E) 

Тип детали:
Валы, вт..",https://zip-agro.ru/r190-val-balansiruyuschij,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/3/605x450-R190_val_balans.e7c-170x170.jpg
Вал декомпрессора R190,100925,240.00,Неизвестно,Запчасти,В наличии,"Вал декомпрессора R190

Подходит к трактору:
Трактор Файтер

Подходит к трактору:
Трактор СКАУТ T-15

Подходит к трактору:
М..",https://zip-agro.ru/r190-val-dekompressora,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/1/605x450-R190_decompressor_1.e7c-170x170.jpg
Вал запускающий R190 / R195,100859,370.00,Неизвестно,Запчасти,В наличии,"Вал запускающий R190 / R195

Подходит к трактору:
Трактор Файтер

Подходит к трактору:
Трактор СКАУТ T-15

Подходит к трактору:
М..",https://zip-agro.ru/r190-r195-val-zapuskayuschij,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/5/605x450-R180-val-zapskayushhij.e7c-170x170.jpg
Вал коленчатый A107 R190,100899,5470.00,Неизвестно,Запчасти,В наличии,"Вал коленчатый A107 R190

Подходит к трактору:
Мотоблок СКАУТ

Подходит к трактору:
Двигатель R190AN(E) 

Тип детали:
В..",https://zip-agro.ru/r190-kolenval-a107-mm,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/4/605x450-R190-kolenval.e7c-170x170.jpg
Вал распределительный R190 / R195,100847,1184.00,Неизвестно,Запчасти,В наличии,"Вал распределительный R190 / R195

Подходит к трактору:
Трактор Файтер

Подходит к трактору:
Трактор СКАУТ T-15

Подходит к трактору:
М..",https://zip-agro.ru/r190-r195-raspredval,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/2/605x450-R190-raspredval.e7c-170x170.jpg
Венец Z120 маховика R190,100923,2200.00,Неизвестно,Запчасти,В наличии,"Венец Z120 маховика R190

Подходит к трактору:
Мотоблок СКАУТ

Подходит к трактору:
Двигатель R190AN(E) 

Тип детали:
Маховики..",https://zip-agro.ru/r190-venets-mahovika-z120,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/0/605x450-R195_Flywheel_gear_1.e7c-170x170.jpg
"Вентилятор охлаждения двигателя с генератором R190 / R195, в сборе",100804,5490.00,Неизвестно,Запчасти,В наличии,"Вентилятор охлаждения двигателя с генератором R190 / R195, в сборе

Подходит к трактору:
Трактор Файтер

Подходит к трактору:
Трактор СКАУТ T-15

Подходит к трактору:
М..",https://zip-agro.ru/r190-r195-ventilyator-v-sbore-s-generatorom,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/9/605x450-R190-ventilyator-v-sbore-s-generatorom.e7c-170x170.jpg
