title,url,brand,category,stock,article,price,image_url,description
"Вал ВОМ L-825 мм, Z-15/15 Foton 354/404",https://zip-agro.ru/val-vom-l-825-mm-z-1515-foton-354404,Foton,Запчасти,В наличии,FT300.37E.137,2410.40,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/6/d0b2d0b0d0bb-d0b2d0bed0bc-l-825mm-z-15-15-foton-354-404_60e418ff02a70-170x170.jpeg,"Вал ВОМ L-825mm Z-15/15 Foton 354/404
                                                            
 .."
"Вал вторичный КПП L-253, Z-28/25/22 Foton 354/404",https://zip-agro.ru/val-vtorichnyj-kpp-l-253-z-282522-foton-354404,Foton,Запчасти,В наличии,FT300.37.109a,3026.80,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0b2d0b0d0bb-d0b2d182d0bed180d0b8d187d0bdd18bd0b9-d0bad0bfd0bf-l-253-z-28-25-22-foton-354-404_60e4190409de2-170x170.jpeg,"Вал вторичный КПП L-253mm Z-28/25/22 Foton 354/404
                                                 .."
"Вал гидравлики подъемный Z-8/31/8 L-355 мм Foton 244, ДТЗ 244, Jinma 244/264",https://zip-agro.ru/val-gidravliki-podaemnyj-z-8318-l-355-mm-foton-244-dtz-244-jinma-244264,Foton,Запчасти,В наличии,TE250.55.109,3491.40,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0b2d0b0d0bb-d0b3d0b8d0b4d180d0b0d0b2d0bbd0b8d0bad0b8-d0bfd0bed0b4d18ad0b5d0bcd0bdd18bd0b9-z-8-31-8-l-355mm-foton-244-d0b4d182d0b7-244-jinma-244-264_60e41908bce2d-170x170.jpeg,"Вал гидравлики подъемный L-355 mm Z-8/31/8 Foton 244, ДТЗ 244, Jinma 244/264
                       .."
"Вал карданный приводной L-505 мм, Z-15/19 Foton 244, Jinma 244/264",https://zip-agro.ru/val-kardannyj-privodnoj-l-505-mm-z-1519-foton-244-jinma-244264,Foton,Запчасти,В наличии,TE254.422A.1-02,2766.90,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/1/d0b2d0b0d0bb-d0bad0b0d180d0b4d0b0d0bdd0bdd18bd0b9-d0bfd180d0b8d0b2d0bed0b4d0bdd0bed0b9-l-505mm-z-15-19-foton-244-jinma-244-264_60e4190d9a50b-170x170.jpeg,"Вал карданный приводной L-505 mm Z-15/19 Foton 244, Jinma 244/264
                                 .."
"Вал карданный приводной L-570 мм, Z-19/15 Foton 244, Jinma 244/264",https://zip-agro.ru/val-kardannyj-privodnoj-l-570-mm-z-1915-foton-244-jinma-244264,Foton,Запчасти,В наличии,TE254.422A.1-02,2906.05,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b2d0b0d0bb-d0bad0b0d180d0b4d0b0d0bdd0bdd18bd0b9-d0bfd180d0b8d0b2d0bed0b4d0bdd0bed0b9-l-570mm-z-19-15-foton-244-jinma-244-264_60e419127d7fd-170x170.jpeg,"Вал карданный приводной L-570mm Z-19/15 Foton 244, Jinma 244/264
                                   .."
"Вал отбора мощности Z-15/11/16 L-400 мм Foton 244, ДТЗ 244, Jinma 244/264",https://zip-agro.ru/val-otbora-moschnosti-z-151116-l-400-mm-foton-244-dtz-244-jinma-244264,Foton,Запчасти,В наличии,TE250.412C-01,2466.75,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-d0bed182d0b1d0bed180d0b0-d0bcd0bed189d0bdd0bed181d182d0b8-z-15-11-16-l-400mm-foton-244-d0b4d182d0b7-244-jinma-244-264_60e4191751091-170x170.jpeg,"Вал отбора мощности L-400 mm Z-15/11/16 Foton 244, ДТЗ 244, Jinma 244/264
                          .."
Вал первичный Z-18/Z-26 КПП Foton 354/404,https://zip-agro.ru/val-pervichnyj-z-18z-26-kpp-foton-354404,Foton,Запчасти,В наличии,FT300.37B.021a,6380.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d0b0d0bb-d0bfd0b5d180d0b2d0b8d187d0bdd18bd0b9-z-18-z-26-d0bad0bfd0bf-foton-354-404_60e41921e71a5-170x170.jpeg,"Вал первичный Z-18/Z-26 КППFoton 354/404
Длина вала (мм) — 
Количество шлицов (шт.) — 18 / 26
Вес (г.."
"Вал первичный КПП L-390 мм, Z-15/16/15 Foton 244, Jinma 244/264",https://zip-agro.ru/val-pervichnyj-kpp-l-390-mm-z-151615-foton-244-jinma-244264,Foton,Запчасти,В наличии,TE250.371C.1-01,2689.85,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-d0bfd0b5d180d0b2d0b8d187d0bdd18bd0b9-d0bad0bfd0bf-l-390mm-z-15-16-15-foton-244-jinma-244-264_60e41926c670b-170x170.jpeg,"Вал первичный КПП L-390 mm Z-15/16/15 Foton 244, Jinma 244/264
                                     .."
"Вал первичный КПП L-422 мм, Z-16 Foton 244, ДТЗ 244, Jinma 244/264",https://zip-agro.ru/val-pervichnyj-kpp-l-422-mm-z-16-foton-244-dtz-244-jinma-244264,Foton,Запчасти,В наличии,ТЕ250.371В.1,4565.50,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d0b0d0bb-d0bfd0b5d180d0b2d0b8d187d0bdd18bd0b9-d0bad0bfd0bf-l-422mm-z-16-foton-244-d0b4d182d0b7-244-jinma-244-264_60e4192ba5d57-170x170.jpeg,"Вал первичный КПП L-422 mm Z-16 Foton 244, ДТЗ 244, Jinma 244/264
                                  .."
Вал передней опоры переднего моста Foton 240/244,https://zip-agro.ru/val-perednej-opory-perednego-mosta-foton-240244,Foton,Запчасти,В наличии,FT254.31F.137,3600.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/6/d0b2d0b0d0bb-d0bfd0b5d180d0b5d0b4d0bdd0b5d0b9-d0bed0bfd0bed180d18b-d0bfd0b5d180d0b5d0b4d0bdd0b5d0b3d0be-d0bcd0bed181d182d0b0-foton-240-244_60e419308778d-170x170.jpeg,"Вал передней опоры переднего моста Foton 240/244
Габариты площадки (мм) — 115 * 120
Межболтовое ра.."
